state,sex,min_age,max_age,population
North Dakota,M,30,34.0,29183
Ohio,M,30,34.0,370754
Oklahoma,M,30,34.0,132859
Oregon,M,30,34.0,148604
Pennsylvania,M,30,34.0,421425
Rhode Island,M,30,34.0,35481
South Carolina,M,30,34.0,156808
South Dakota,M,30,34.0,29983
Tennessee,M,30,34.0,216956
Texas,M,30,34.0,1054383
Utah,M,30,34.0,109991
Vermont,M,30,34.0,18471
Virginia,M,30,34.0,295342
Washington,M,30,34.0,289758
West Virginia,M,30,34.0,52285
Wisconsin,M,30,34.0,184584
Wyoming,M,30,34.0,20240
Alabama,F,30,34.0,155481
Alaska,F,30,34.0,27195
Arizona,F,30,34.0,225624
Arkansas,F,30,34.0,94988
California,F,30,34.0,1414252
Colorado,F,30,34.0,210403
Connecticut,F,30,34.0,110610
Delaware,F,30,34.0,31104
District of Columbia,F,30,34.0,42474
Florida,F,30,34.0,667233
Georgia,F,30,34.0,358841
Hawaii,F,30,34.0,48132
Idaho,F,30,34.0,55431
Illinois,F,30,34.0,428554
Indiana,F,30,34.0,208816
Iowa,F,30,34.0,94696
Kansas,F,30,34.0,92298
Kentucky,F,30,34.0,135906
Louisiana,F,30,34.0,162135
Maine,F,30,34.0,39726
Maryland,F,30,34.0,211048
Massachusetts,F,30,34.0,243552
Michigan,F,30,34.0,297654
Minnesota,F,30,34.0,188618
Mississippi,F,30,34.0,94466
Missouri,F,30,34.0,198474
Montana,F,30,34.0,32408
Nebraska,F,30,34.0,61911
Nevada,F,30,34.0,106176
New Hampshire,F,30,34.0,40830
New Jersey,F,30,34.0,283159
New Mexico,F,30,34.0,67134
New York,F,30,34.0,696226
North Carolina,F,30,34.0,337727
North Dakota,F,30,34.0,24464
Ohio,F,30,34.0,367640
Oklahoma,F,30,34.0,129510
Oregon,F,30,34.0,145137
Pennsylvania,F,30,34.0,408933
Rhode Island,F,30,34.0,34381
South Carolina,F,30,34.0,162631
South Dakota,F,30,34.0,27358
Tennessee,F,30,34.0,221647
Texas,F,30,34.0,1022138
Utah,F,30,34.0,107686
Vermont,F,30,34.0,18087
Virginia,F,30,34.0,290778
Washington,F,30,34.0,273995
West Virginia,F,30,34.0,49463
Wisconsin,F,30,34.0,178358
Wyoming,F,30,34.0,18659
Alabama,M,35,39.0,147667
Alaska,M,35,39.0,26943
Arizona,M,35,39.0,233759
Arkansas,M,35,39.0,95770
California,M,35,39.0,1400228
Colorado,M,35,39.0,213837
Connecticut,M,35,39.0,107235
Delaware,M,35,39.0,29056
District of Columbia,M,35,39.0,30585
Florida,M,35,39.0,657492
Georgia,M,35,39.0,340919
Hawaii,M,35,39.0,49065
Idaho,M,35,39.0,58245
Illinois,M,35,39.0,427485
Indiana,M,35,39.0,212379
Iowa,M,35,39.0,103032
Kansas,M,35,39.0,96215
Kentucky,M,35,39.0,141076
Louisiana,M,35,39.0,154861
Maine,M,35,39.0,38452
Maryland,M,35,39.0,199196
Massachusetts,M,35,39.0,217756
Michigan,M,35,39.0,298593
Minnesota,M,35,39.0,195069
Mississippi,M,35,39.0,92716
Missouri,M,35,39.0,196524
Montana,M,35,39.0,34717
Nebraska,M,35,39.0,65602
Nevada,M,35,39.0,106572
New Hampshire,M,35,39.0,40311
New Jersey,M,35,39.0,289065
New Mexico,M,35,39.0,67882
New York,M,35,39.0,629727
North Carolina,M,35,39.0,320982
North Dakota,M,35,39.0,26543
Ohio,M,35,39.0,360464
Oklahoma,M,35,39.0,131328
Oregon,M,35,39.0,148202
Pennsylvania,M,35,39.0,391982
Rhode Island,M,35,39.0,32742
South Carolina,M,35,39.0,153852
South Dakota,M,35,39.0,29069
Tennessee,M,35,39.0,213648
Texas,M,35,39.0,1022255
Utah,M,35,39.0,117527
Vermont,M,35,39.0,18048
Virginia,M,35,39.0,288300
Washington,M,35,39.0,273657
West Virginia,M,35,39.0,54950
Wisconsin,M,35,39.0,188315
Wyoming,M,35,39.0,20295
Alabama,F,35,39.0,156327
Alaska,F,35,39.0,24729
Arizona,F,35,39.0,225128
Arkansas,F,35,39.0,95903
California,F,35,39.0,1354752
Colorado,F,35,39.0,201221
Connecticut,F,35,39.0,110641
Delaware,F,35,39.0,29794
District of Columbia,F,35,39.0,31627
Florida,F,35,39.0,661090
Georgia,F,35,39.0,364309
Hawaii,F,35,39.0,47731
Idaho,F,35,39.0,57138
Illinois,F,35,39.0,427036
Indiana,F,35,39.0,213539
Iowa,F,35,39.0,99072
Kansas,F,35,39.0,93757
Kentucky,F,35,39.0,141969
Louisiana,F,35,39.0,158826
Maine,F,35,39.0,39711
Maryland,F,35,39.0,208206
Massachusetts,F,35,39.0,222325
Michigan,F,35,39.0,301097
Minnesota,F,35,39.0,188621
Mississippi,F,35,39.0,97153
Missouri,F,35,39.0,197818
Montana,F,35,39.0,32677
Nebraska,F,35,39.0,62737
Nevada,F,35,39.0,104266
New Hampshire,F,35,39.0,39536
New Jersey,F,35,39.0,292422
New Mexico,F,35,39.0,65712
New York,F,35,39.0,643336
North Carolina,F,35,39.0,337622
North Dakota,F,35,39.0,23352
Ohio,F,35,39.0,363741
Oklahoma,F,35,39.0,130082
Oregon,F,35,39.0,146146
Pennsylvania,F,35,39.0,390784
Rhode Island,F,35,39.0,32663
South Carolina,F,35,39.0,162222
South Dakota,F,35,39.0,26938
Tennessee,F,35,39.0,219235
Texas,F,35,39.0,1008572
Utah,F,35,39.0,113832
Vermont,F,35,39.0,18556
Virginia,F,35,39.0,290334
Washington,F,35,39.0,262487
West Virginia,F,35,39.0,54280
Wisconsin,F,35,39.0,183482
Wyoming,F,35,39.0,18863
Alabama,M,40,44.0,139271
Alaska,M,40,44.0,22482
Arizona,M,40,44.0,211714
Arkansas,M,40,44.0,87576
California,M,40,44.0,1252659
Colorado,M,40,44.0,187414
Connecticut,M,40,44.0,100370
Delaware,M,40,44.0,25417
District of Columbia,M,40,44.0,21565
Florida,M,40,44.0,616291
Georgia,M,40,44.0,321019
Hawaii,M,40,44.0,42192
Idaho,M,40,44.0,53103
Illinois,M,40,44.0,391887
Indiana,M,40,44.0,197881
Iowa,M,40,44.0,90364
Kansas,M,40,44.0,84118
Kentucky,M,40,44.0,134112
Louisiana,M,40,44.0,133045
Maine,M,40,44.0,36635
Maryland,M,40,44.0,178218
Massachusetts,M,40,44.0,195798
Michigan,M,40,44.0,279073
Minnesota,M,40,44.0,165719
Mississippi,M,40,44.0,84613
Missouri,M,40,44.0,173822
Montana,M,40,44.0,30080
Nebraska,M,40,44.0,56347
Nevada,M,40,44.0,96933
New Hampshire,M,40,44.0,37155
New Jersey,M,40,44.0,276288
